2025-10-20 00:06:43 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Подключение к приватному WebSocket: wss://stream-demo.bybit.com/v5/private
2025-10-20 00:06:43 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Аутентификация отправлена
2025-10-20 00:06:43 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Подписка на приватные каналы отправлена
2025-10-20 00:06:43 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Подключен к приватному WebSocket
2025-10-20 00:10:00 MSK | INFO     | User:1143354705 | SignalScalper        | Анализ для SOLUSDT: Сигнал=SHORT, Цена=189.1700, Индикаторы={'ema_short': 189.20394134499858, 'ema_long': 189.4396682653276, 'rsi': 48.15471614474692, 'rsi_neutral': True}
2025-10-20 00:10:00 MSK | INFO     | User:1143354705 | SignalScalper        | Сигнал SHORT подтвержден! (4/1)
2025-10-20 00:10:00 MSK | INFO     | User:1143354705 | SpikeDetector        | ⏸️ SpikeDetector (SOLUSDT): Недостаточно данных (2/6 всплесков), накапливаю историю...
2025-10-20 00:10:00 MSK | INFO     | User:1143354705 | SignalScalper        | ⏸️ Spike Detector (16 свечей, 2/2 всплесков за 10мин): ⏸️ Недостаточно данных для анализа (2/6 всплесков)
2025-10-20 00:15:00 MSK | INFO     | User:1143354705 | SignalScalper        | Анализ для SOLUSDT: Сигнал=SHORT, Цена=188.8500, Индикаторы={'ema_short': 189.1453202053841, 'ema_long': 189.4046240093818, 'rsi': 41.696748812611744, 'rsi_neutral': True}
2025-10-20 00:15:00 MSK | INFO     | User:1143354705 | SignalScalper        | Сигнал SHORT подтвержден! (5/1)
2025-10-20 00:15:00 MSK | INFO     | User:1143354705 | SpikeDetector        | ⏸️ SpikeDetector (SOLUSDT): Недостаточно данных (3/6 всплесков), накапливаю историю...
2025-10-20 00:15:00 MSK | INFO     | User:1143354705 | SignalScalper        | ⏸️ Spike Detector (21 свечей, 3/3 всплесков за 10мин): ⏸️ Недостаточно данных для анализа (3/6 всплесков)
2025-10-20 00:18:38 MSK | INFO     | User:1143354705 | websocket.websocket_manager | WebSocket переподключение: no close frame received or sent
2025-10-20 00:18:43 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Подключение к приватному WebSocket: wss://stream-demo.bybit.com/v5/private
2025-10-20 00:18:44 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Аутентификация отправлена
2025-10-20 00:18:44 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Подписка на приватные каналы отправлена
2025-10-20 00:18:44 MSK | INFO     | User:1143354705 | websocket.websocket_manager | Подключен к приватному WebSocket
